mean,count,Lon,Lat,day,month,year,country,city,parameter,unit
2.22E-04,9,-82.0003,27.94,19,10,2017,US,Lakeland,so2,ppm
0.26238096,21,-122.31285,47.579277,19,10,2017,US,Seattle-Tacoma-Bellevue,co,ppm
3.2928572,140,-0.649127,38.348373,19,10,2017,ES,Alicante/Alacant,so2,µg/m³
15.400001,4,-16.884724,32.728333,18,10,2017,PT,Ilha da Madeira,no2,µg/m³
29.399305,288,-9.185116,38.77919,19,10,2017,PT,Lisboa,no2,µg/m³
16.742779,18,-71.61417,-33.049744,23,11,2017,CL,Valparaíso,pm25,µg/m³
9.018824,17,-71.23397,-34.974926,23,11,2017,CL,Curicó,pm25,µg/m³
41.947998,25,-71.65314,-35.419147,23,11,2017,CL,Talca,pm10,µg/m³
60.210526,19,1.463497,52.2944,23,11,2017,GB,Sibton,o3,µg/m³
16.666666,15,-3.002778,53.04222,23,11,2017,GB,Wrexham,no2,µg/m³
12.666667,18,-0.944067,51.45309,23,11,2017,GB,Reading,pm10,µg/m³
7.067742,31,76.61946,28.876028,24,11,2017,IN,Rohtak,so2,µg/m³
60.52941,17,-49.398277,-20.784689,18,10,2017,BR,São José Do Rio Preto,pm10,µg/m³
16.38077,52,2.138226,50.703903,18,10,2017,FR,Pas-de-Calais,pm25,µg/m³
15.049523,21,-0.556053,47.468513,18,10,2017,FR,Maine-et-Loire,pm25,µg/m³
3.6572223,18,1.8425,50.950832,18,10,2017,FR,Pas-de-Calais,so2,µg/m³
21.93111,18,,,30,8,2017,IN,Nagpur,o3,µg/m³
0.011222222,18,98.39429,7.881636,30,8,2017,TH,Phuket,no2,ppm
269.44446,18,10.200819,56.150578,16,11,2017,DK,Midtjylland,co,µg/m³
46.837498,95,19.083632,47.50943,16,11,2017,HU,Budapest,no2,µg/m³
-998.1053,19,3.74948,51.2945,16,11,2017,NL,Philippine,so2,µg/m³
26.052631,19,14.996085,46.131073,16,11,2017,SI,Zagorje,pm10,µg/m³
-98.8625,240,11.8276205,42.147594,17,9,2017,IT,Civitavecchia,no2,µg/m³
6.1358647,37,5.7749696,50.61547,23,10,2017,BE,Liege,pm10,µg/m³
1000,1,11.784358,42.102158,22,8,2017,IT,Civitavecchia,co,µg/m³
6.785714,7,-86.1481,37.1314,19,9,2017,US,Bowling Green,pm25,µg/m³
0.0015,2,-88.5339,30.3775,19,9,2017,US,Pascagoula,no2,ppm
37.7907,43,-46.46298,-23.447647,24,8,2017,BR,Guarulhos,o3,µg/m³
59.125,48,11.821326,42.16046,18,9,2017,IT,Civitavecchia,o3,µg/m³
0.70555556,36,11.25753,50.855957,13,11,2017,DE,Thüringen,so2,µg/m³
19.808096,21,-71.440575,-32.92955,24,8,2017,CL,Concón,no2,µg/m³
14.714286,21,-70.73215,-33.43309,24,8,2017,CL,Cerro Navia,pm25,µg/m³
22.8125,16,1.098061,51.27399,16,11,2017,GB,Canterbury,no2,µg/m³
18.299381,210,7.7181416,49.790077,7,11,2017,DE,Rheinland-Pfalz,o3,µg/m³
5.4901924,78,4.460736,51.21861,11,10,2017,BE,Antwerpen,pm25,µg/m³
19.19416,23,7.148326,46.13899,11,10,2017,CH,Valais,no2,µg/m³
15.817986,139,4.408597,45.561577,11,10,2017,FR,Loire,pm10,µg/m³
12,3,102.78922,46.258915,9,11,2017,MN,Арвайхээр хот,so2,µg/m³
49.761765,34,,,23,11,2017,IN,Ajmer,pm25,µg/m³
24.34421,19,4.78102,51.6031,24,11,2017,NL,Breda,o3,µg/m³
2.9407623,19,6.91949,52.2345,24,11,2017,NL,Enschede,pm25,µg/m³
