countryCode,date,parameter,mean
AUT,2017-05-31,o3,51.18225315021924
AUT,2017-06-01,no2,13.709152383436665
AUT,2017-06-01,o3,51.08227520794189
AUT,2017-06-02,no2,14.575168269830737
AUT,2017-06-02,o3,36.295181007332914
AUT,2017-06-03,no2,11.699582689913273
AUT,2017-06-03,o3,32.59409224245045
AUT,2017-06-04,no2,7.176817377730357
AUT,2017-06-04,o3,37.325338844585744
AUT,2017-06-05,no2,5.3185515135613475
AUT,2017-06-05,o3,31.44779089410108
AUT,2017-06-06,no2,10.95605115564523
AUT,2017-06-06,o3,48.83179236285442
AUT,2017-06-07,no2,6.217028557320692
AUT,2017-06-07,o3,38.74235304710593
AUT,2017-06-08,no2,10.502674720586876
AUT,2017-06-08,o3,38.70854653737482
AUT,2017-06-09,no2,14.263041744413854
AUT,2017-06-09,o3,37.265320443256336
AUT,2017-06-10,no2,8.543129210704704
AUT,2017-06-10,o3,46.87294652762667
AUT,2017-06-11,no2,9.59478537069673
AUT,2017-06-11,o3,26.79665267170832
AUT,2017-06-12,no2,18.9571730340427
AUT,2017-06-12,o3,55.99151554744467
AUT,2017-06-13,no2,9.091828479985505
AUT,2017-06-13,o3,56.82362693018712
AUT,2017-06-14,no2,10.797617392227515
AUT,2017-06-14,o3,45.631317755688464
AUT,2017-06-15,no2,11.299921043190395
AUT,2017-06-15,o3,26.15075072845526
AUT,2017-06-16,no2,8.939701461882663
AUT,2017-06-16,o3,39.43704949569925
AUT,2017-06-17,no2,5.62000608583142
AUT,2017-06-17,o3,41.772134197967326
AUT,2017-06-18,no2,5.810262757786248
AUT,2017-06-18,o3,29.82334761467113
AUT,2017-06-19,no2,13.366910851996757
AUT,2017-06-19,o3,28.568297632290047
AUT,2017-06-20,no2,20.8730118438224
AUT,2017-06-20,o3,58.876626201828095
AUT,2017-06-21,no2,13.221663496079302
AUT,2017-06-21,o3,56.45834434240226
AUT,2017-06-22,no2,17.329120429561364
AUT,2017-06-22,o3,49.17305595705813
AUT,2017-06-23,no2,14.07820734980989
AUT,2017-06-23,o3,56.12236987796438
AUT,2017-06-24,no2,10.416307570488124
AUT,2017-06-24,o3,60.105592040237035
AUT,2017-06-25,no2,11.852231961971652
AUT,2017-06-25,o3,80.09666511833206
AUT,2017-06-26,no2,13.059560631608157
AUT,2017-06-26,o3,67.39899702307682
